Időbélyeg,1. Naponta átlagosan mennyi időt tölt digitális eszközök használatával?,2. Milyen gyakran használ különböző jelszavakat a különböző online fiókjaihoz? ,3. Milyen gyakran használ legalább 12 karakter hosszú jelszavakat? ,4.  Milyen gyakran használ speciális karaktereket a jelszavaiban? ,5. Milyen gyakran használ kétlépcsős azonosítást (2FA) online fiókjai védelmére?,6. Milyen gyakran használ jelszókezelő alkalmazást jelszavai biztonságos tárolására? ,7. Milyen gyakran ellenőrzi az e-mailek feladóját megnyitás előtt? ,8. Milyen gyakran kerüli el az ismeretlen linkekre való kattintást e-mailekben? ,9. Milyen gyakran ismeri fel az adathalász e-maileket? ,10. Milyen gyakran ellenőrzi egy gyanús üzenet hitelességét?  ,11. Milyen gyakran ad meg személyes adatokat online ellenőrzés nélkül? ,12. Milyen gyakran frissíti az operációs rendszert és az alkalmazásokat?  ,13. Milyen gyakran használ vírusirtó vagy egyéb biztonsági szoftvert az eszközei védelmére?,"14. Milyen gyakran használ képernyőzárat (pl. PIN-kód, jelszó vagy biometria) az eszközein?",15. Milyen gyakran használ nyilvános Wi-Fi-t érzékeny adatok elérésére? ,16.  Milyen gyakran készít biztonsági mentést fontos adatairól?  ,Neme,Melyik korcsoportba tartozik?,Hol lakik?,Milyen iskolai végzettséggel rendelkezik?,Pontszám,Kategória
2026/03/30 11:36:08 du. EET,7 óránál több,Inkább nem jellemző,Inkább jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Inkább nem jellemző,Részben jellemző,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Inkább nem jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Férfi,18–25 év,Város,Felsőfokú szakképzés,59,Magas
2026/04/14 9:22:04 de. EET,7 óránál több,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Inkább jellemző,Nő,50 év felett,Megyeszékhely,Felsőfokú szakképzés,64,Magas
2026/04/14 9:33:45 de. EET,3–5 óra,Inkább jellemző,Teljes mértékben jellemző,Részben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Inkább jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Férfi,50 év felett,Megyeszékhely,Egyetemi mesterképzés,60,Magas
2026/04/14 5:52:31 du. EET,3–5 óra,Inkább nem jellemző,Inkább nem jellemző,Inkább jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Teljes mértékben jellemző,Részben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Nő,50 év felett,Megyeszékhely,Egyetemi mesterképzés,54,Közepes
2026/04/14 6:14:13 du. EET,5–7 óra,Részben jellemző,Inkább nem jellemző,Részben jellemző,Részben jellemző,Inkább jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Inkább jellemző,Részben jellemző,Inkább jellemző,Inkább jellemző,Inkább nem jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Férfi,18–25 év,Város,Egyetemi alapképzés,49,Közepes
2026/04/14 6:15:12 du. EET,5–7 óra,Inkább jellemző,Részben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Inkább nem jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Inkább nem jellemző,Inkább nem jellemző,Részben jellemző,Inkább nem jellemző,Részben jellemző,Nő,18–25 év,Város,Szakiskola / Szakképzés / Szakmunkásképző,42,Közepes
2026/04/14 6:55:20 du. EET,1–3 óra,Inkább nem jellemző,Egyáltalán nem jellemző rám,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább nem jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Inkább nem jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Férfi,36–50 év,Város,Érettségi,38,Közepes
2026/04/14 7:33:16 du. EET,7 óránál több,Teljes mértékben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Inkább jellemző,Inkább nem jellemző,Inkább nem jellemző,Inkább jellemző,Inkább jellemző,Részben jellemző,Inkább nem jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Inkább nem jellemző,Nő,36–50 év,Város,Felsőfokú szakképzés,46,Közepes
2026/04/14 9:39:16 du. EET,3–5 óra,Teljes mértékben jellemző,Inkább nem jellemző,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Egyáltalán nem jellemző rám,Részben jellemző,Részben jellemző,Inkább jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Inkább nem jellemző,Részben jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Részben jellemző,Nő,36–50 év,Város,Szakiskola / Szakképzés / Szakmunkásképző,46,Közepes
2026/04/14 10:34:34 du. EET,3–5 óra,Inkább jellemző,Részben jellemző,Teljes mértékben jellemző,Részben jellemző,Inkább jellemző,Inkább nem jellemző,Részben jellemző,Inkább jellemző,Inkább jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Inkább nem jellemző,Férfi,18–25 év,Megyeszékhely,Egyetemi alapképzés,54,Közepes
2026/04/15 12:11:16 du. EET,1–3 óra,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Részben jellemző,Inkább jellemző,Inkább jellemző,Teljes mértékben jellemző,Egyáltalán nem jellemző rám,Részben jellemző,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Teljes mértékben jellemző,Nő,36–50 év,Város,Felsőfokú szakképzés,68,Magas
2026/04/15 2:29:28 du. EET,1–3 óra,Részben jellemző,Inkább jellemző,Inkább jellemző,Részben jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Inkább jellemző,Részben jellemző,Egyáltalán nem jellemző rám,Teljes mértékben jellemző,Teljes mértékben jellemző,Inkább jellemző,Egyáltalán nem jellemző rám,Inkább jellemző,Nő,36–50 év,Város,Érettségi,58,Magas
2026/04/15 4:12:33 du. EET,3–5 óra,Részben jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Inkább jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Inkább nem jellemző,Részben jellemző,Teljes mértékben jellemző,Inkább nem jellemző,Részben jellemző,Nő,36–50 év,Város,Felsőfokú szakképzés,50,Közepes
2026/04/15 4:26:52 du. EET,7 óránál több,Részben jellemző,Részben jellemző,Részben jellemző,Részben jellemző,Teljes mértékben jellemző,Inkább jellemző,Részben jellemző,Inkább nem jellemző,Inkább jellemző,Inkább jellemző,Részben jellemző,Inkább jellemző,Inkább jellemző,Inkább nem jellemző,Részben jellemző,Férfi,18–25 év,Megyeszékhely,Felsőfokú szakképzés,50,Közepes
